Никитин Даниил Денисович : Ароматерапия
Соколов Ярослав Иванович : Астрономия
Михайлова Варвара Марковна : Аэробика
Куликова Малика Львовна : Аэрография
Мартынова Василиса Матвеевна : Бадминтон
Александров Борис Владиславович : Батут
Федоров Демид Алексеевич : Бег
Маслова Виктория Яновна : Бильярд
Хохлова Ева Сергеевна : Блоггерство
Гордеева Сафия Глебовна : Боевые искусства
Маслова Анастасия Елисеевна : Бонсай
Корчагина Арина Леонидовна : Боулинг
Тихонов Никита Георгиевич : Астрономия
Николаева Виктория Давидовна : Аэробика
Андреев Григорий Родионович : Аэрография
Еремеева Екатерина Сергеевна : Бадминтон
Сергеева Анна Владимировна : Батут
Никольская Виктория Ивановна : Бег
Маркова Елизавета Олеговна : Бильярд
Маслова Анастасия Елисеевна : Блоггерство
Корчагина Арина Леонидовна : Боевые искусства
Тихонов Никита Георгиевич : Бонсай
Николаева Виктория Давидовна : Боулин
Андреев Григорий Родионович : None
Еремеева Екатерина Сергеевна : None
Сергеева Анна Владимировна : None
Никольская Виктория Ивановна : None
Маркова Елизавета Олеговна : None
